Using cuda device
Wrapping the env in a DummyVecEnv.
Total Reward: -0.372 | Lat Penalty: -0.444 | Steer Penalty: -0.011 | Action: -0.98
Total Reward: -0.376 | Lat Penalty: -0.448 | Steer Penalty: -0.012 | Action: -1.00
Total Reward: -0.380 | Lat Penalty: -0.451 | Steer Penalty: -0.012 | Action: 1.00
Total Reward: -0.382 | Lat Penalty: -0.454 | Steer Penalty: -0.013 | Action: -0.11
Total Reward: -0.387 | Lat Penalty: -0.457 | Steer Penalty: -0.013 | Action: -0.43
Total Reward: -0.393 | Lat Penalty: -0.462 | Steer Penalty: -0.014 | Action: -1.00
Total Reward: -0.398 | Lat Penalty: -0.467 | Steer Penalty: -0.014 | Action: -0.08
Total Reward: -0.400 | Lat Penalty: -0.469 | Steer Penalty: -0.014 | Action: 0.53
Total Reward: -0.401 | Lat Penalty: -0.470 | Steer Penalty: -0.014 | Action: 0.75
Total Reward: -0.401 | Lat Penalty: -0.470 | Steer Penalty: -0.014 | Action: 0.11
Total Reward: -0.401 | Lat Penalty: -0.471 | Steer Penalty: -0.014 | Action: 0.07
Total Reward: -0.403 | Lat Penalty: -0.473 | Steer Penalty: -0.014 | Action: -0.29
Total Reward: -0.405 | Lat Penalty: -0.474 | Steer Penalty: -0.014 | Action: 1.00
Total Reward: -0.407 | Lat Penalty: -0.476 | Steer Penalty: -0.014 | Action: -1.00
Total Reward: -0.411 | Lat Penalty: -0.480 | Steer Penalty: -0.014 | Action: -0.85
----------------------------
| time/              |     |
|    fps             | 217 |
|    iterations      | 1   |
|    time_elapsed    | 0   |
|    total_timesteps | 128 |
----------------------------
